PROV_CODE,AMP_CODE,TAM_CODE,PROV_NAMT,PROV_NAME,AMP_NAMT,AMP_NAME,TAM_NAMT,TAM_NAME,PA,PAT,amenity,name,name:th,layer
21.0,2.0,2.0,ระยอง,RAYONG,บ้านฉาง,BAN CHANG,พลา,PHLA,2102.0,210202.0,fire_station,,,
11.0,3.0,9.0,สมุทรปราการ,SAMUT PRAKAN,บางพลี,BANG PHLI,หนองปรือ,NONG PRUE,1103.0,110309.0,fire_station,สถานีดับเพลิงสนามบินสุวรรณภูมิ,สถานีดับเพลิงสนามบินสุวรรณภูมิ,
10.0,4.0,4.0,กรุงเทพมหานคร,BANGKOK,บางรัก,BANG RAK,บางรัก,BANG RAK,1004.0,100404.0,fire_station,สถานีดับเพลิงบางรัก,,
77.0,4.0,5.0,ประจวบคีรีขันธ์,PRACHUAP KHIRI KHAN,บางสะพาน,BANG SAPHAN,ชัยเกษม,CHAI KASEM,7704.0,770405.0,fire_station,,,
64.0,1.0,1.0,สุโขทัย,SUKHOTHAI,เมืองสุโขทัย,MUEANG SUKHOTHAI,ธานี,THANI,6401.0,640101.0,fire_station,,,
64.0,1.0,3.0,สุโขทัย,SUKHOTHAI,เมืองสุโขทัย,MUEANG SUKHOTHAI,เมืองเก่า,MUEANG KAO,6401.0,640103.0,fire_station,,,
50.0,6.0,5.0,เชียงใหม่,CHIANG MAI,แม่แตง,MAE TAENG,แม่หอพระ,MAE HO PHRA,5006.0,500605.0,fire_station,,,
50.0,18.0,1.0,เชียงใหม่,CHIANG MAI,อมก๋อย,OMKOI,อมก๋อย,OMKOI,5018.0,501801.0,fire_station,ศูนย์ป้องกันและบรรเทาสาธารณภัย,,
77.0,4.0,1.0,ประจวบคีรีขันธ์,PRACHUAP KHIRI KHAN,บางสะพาน,BANG SAPHAN,กำเนิดนพคุณ,KAMNOET NOPPHAKHUN,7704.0,770401.0,fire_station,,,
50.0,15.0,9.0,เชียงใหม่,CHIANG MAI,หางดง,HANG DONG,หนองควาย,NONG KHWAI,5015.0,501509.0,fire_station,,,
10.0,7.0,2.0,กรุงเทพมหานคร,BANGKOK,ปทุมวัน,PATHUM WAN,วังใหม่,WANG MAI,1007.0,100702.0,fire_station,สถานีดับเพลิงและกู้ภัยบรรทัดทอง,สถานีดับเพลิงและกู้ภัยบรรทัดทอง,
96.0,6.0,7.0,นราธิวาส,NARATHIWAT,รือเสาะ,RUESO,รือเสาะออก,RUESO OK,9606.0,960607.0,fire_station,สถานีดับเพลิงรือเสาะ,,
71.0,1.0,1.0,กาญจนบุรี,KANCHANABURI,เมืองกาญจนบุรี,MUEANG KANCHANABURI,บ้านเหนือ,BAN NUEA,7101.0,710101.0,fire_station,,,
50.0,1.0,14.0,เชียงใหม่,CHIANG MAI,เมืองเชียงใหม่,MUEANG CHIANG MAI,ฟ้าฮ่าม,FA HAM,5001.0,500114.0,fire_station,,,
55.0,1.0,1.0,น่าน,NAN,เมืองน่าน,MUEANG NAN,ในเวียง,NAI WIANG,5501.0,550101.0,fire_station,Nan Municipal Fire Station,,
51.0,1.0,3.0,ลำพูน,LAMPHUN,เมืองลำพูน,MUEANG LAMPHUN,อุโมงค์,UMONG,5101.0,510103.0,fire_station,ศูนย์อำนวยการป้องกันฝ่ายพลเรือน,ศูนย์อำนวยการป้องกันฝ่ายพลเรือน,
34.0,15.0,1.0,อุบลราชธานี,UBON RATCHATHANI,วารินชำราบ,WARIN CHAMRAP,วารินชำราบ,WARIN CHAMRAP,3415.0,341501.0,fire_station,Muang Warin Municipal Fire Station,,
31.0,7.0,1.0,บุรีรัมย์,BURI RAM,ประโคนชัย,PRAKHON CHAI,ประโคนชัย,PRAKHON CHAI,3107.0,310701.0,fire_station,,,
50.0,1.0,16.0,เชียงใหม่,CHIANG MAI,เมืองเชียงใหม่,MUEANG CHIANG MAI,สันผีเสื้อ,SAN PHISUEA,5001.0,500116.0,fire_station,,,
51.0,1.0,11.0,ลำพูน,LAMPHUN,เมืองลำพูน,MUEANG LAMPHUN,เวียงยอง,WIANG YONG,5101.0,510111.0,fire_station,,,
50.0,1.0,11.0,เชียงใหม่,CHIANG MAI,เมืองเชียงใหม่,MUEANG CHIANG MAI,หนองหอย,NONG HOI,5001.0,500111.0,fire_station,,,
66.0,6.0,7.0,พิจิตร,PHICHIT,โพทะเล,PHO THALE,ท่าเสา,THA SAO,6606.0,660607.0,fire_station,,,
10.0,8.0,2.0,กรุงเทพมหานคร,BANGKOK,ป้อมปราบศัตรูพ่าย,POM PRAP SATTRU PHAI,วัดเทพศิรินทร์,WAT THEPSIRIN,1008.0,100802.0,fire_station,,,
50.0,22.0,4.0,เชียงใหม่,CHIANG MAI,แม่วาง,MAE WANG,แม่วิน,MAE WIN,5022.0,502204.0,fire_station,,,
61.0,4.0,1.0,อุทัยธานี,UTHAI THANI,หนองฉาง,NONG CHANG,หนองฉาง,NONG CHANG,6104.0,610401.0,fire_station,,,
84.0,4.0,6.0,สุราษฎร์ธานี,SURAT THANI,เกาะสมุย,KO SAMUI,บ่อผุด,BO PHUT,8404.0,840406.0,fire_station,,,
84.0,4.0,1.0,สุราษฎร์ธานี,SURAT THANI,เกาะสมุย,KO SAMUI,อ่างทอง,ANG THONG,8404.0,840401.0,fire_station,,,
20.0,4.0,6.0,ชลบุรี,CHON BURI,บางละมุง,BANG LAMUNG,ห้วยใหญ่,HUAI YAI,2004.0,200406.0,fire_station,,,
45.0,1.0,1.0,ร้อยเอ็ด,ROI ET,เมืองร้อยเอ็ด,MUEANG ROI ET,ในเมือง,NAI MUEANG,4501.0,450101.0,fire_station,งานป้องกันและบรรเทาสาธารณภัยเทศบาลเมืองร้อยเอ็ด,,
45.0,10.0,3.0,ร้อยเอ็ด,ROI ET,เสลภูมิ,SELAPHUM,เมืองไพร,MUEANG PHRAI,4510.0,451003.0,fire_station,,,
46.0,11.0,5.0,กาฬสินธุ์,KALASIN,ท่าคันโท,THA KHANTHO,นาตาล,NA TAN,4611.0,461105.0,fire_station,,,
90.0,11.0,1.0,สงขลา,SONGKHLA,หาดใหญ่,HAT YAI,หาดใหญ่,HAT YAI,9011.0,901101.0,fire_station,สถานีดับเพลิง ศรีภูวนารถ,สถานีดับเพลิง ศรีภูวนารถ,
50.0,7.0,11.0,เชียงใหม่,CHIANG MAI,แม่ริม,MAE RIM,เหมืองแก้ว,MUEANG KAEO,5007.0,500711.0,fire_station,,,
36.0,12.0,1.0,ชัยภูมิ,CHAIYAPHUM,แก้งคร้อ,KAENG KHRO,ช่องสามหมอ,CHONG SAM MO,3612.0,361201.0,fire_station,,,
57.0,5.0,13.0,เชียงราย,CHIANG RAI,พาน,PHAN,เมืองพาน,MUEANG PHAN,5705.0,570513.0,fire_station,,,
58.0,6.0,2.0,แม่ฮ่องสอน,MAE HONG SON,สบเมย,SOP MOEI,แม่คะตวน,MAE KHATUAN,5806.0,580602.0,fire_station,ป้องกันและบรรเทาสาธารณภัย อบต.แม่ตะตวน,,
52.0,3.0,1.0,ลำปาง,LAMPANG,เกาะคา,KO KHA,ลำปางหลวง,LAMPANG LUANG,5203.0,520301.0,fire_station,,,
